2,1,0,0.722481
2,1,1,0.797896
2,2,0,0.758533
2,2,1,0.784442
2,3,0,0.756421
2,3,1,0.7677
2,4,0,0.723765
2,4,1,0.806547
2,5,0,0.772845
2,5,1,0.781548
2,6,0,0.759156
2,6,1,0.783556
2,7,0,0.737287
2,7,1,0.788319
2,8,0,0.733215
2,8,1,0.792205
2,9,0,0.740414
2,9,1,0.784206
2,10,0,0.754394
2,10,1,0.788467
2,11,0,0.750773
2,11,1,0.780783
2,12,0,0.74639
2,12,1,0.774706
2,13,0,0.754334
2,13,1,0.787724
2,14,0,0.698729
2,14,1,0.807803
2,15,0,0.8137
2,15,1,0.740664
2,16,0,0.739411
2,16,1,0.782112
2,17,0,0.742889
2,17,1,0.787889
2,18,0,0.766099
2,18,1,0.782041
2,19,0,0.724607
2,19,1,0.803502
2,20,0,0.736087
2,20,1,0.803274
2,21,0,0.740129
2,21,1,0.798079
2,22,0,0.753471
2,22,1,0.782605
2,23,0,0.706783
2,23,1,0.801868
2,24,0,0.709422
2,24,1,0.811971
2,25,0,0.726921
2,25,1,0.803924
