2,1,0.211052,1.72735
2,2,0.567904,1.6778
2,3,0.536577,1.61313
2,4,0.309431,1.72628
2,5,0.655445,1.57831
2,6,0.431609,1.74423
2,7,0.46611,1.65274
2,8,0.382019,1.73798
2,9,0.493262,1.63507
2,10,0.461117,1.69298
2,11,0.313123,1.73204
2,12,0.62462,1.5771
2,13,0.367679,1.73412
2,14,0.4931,1.5987
2,15,0.842254,1.45334
2,16,0.375793,1.73643
2,17,0.367575,1.74857
2,18,0.560924,1.65224
2,19,0.366277,1.67193
2,20,0.368026,1.70832
2,21,0.363093,1.69481
2,22,0.603485,1.64132
2,23,0.289432,1.72662
2,24,0.343954,1.67944
2,25,0.288564,1.73708
